geneid	funcatid	gotermid	pubmedid
NCU00350	01.05	 GO:0005975	PMID:15486203
NCU00352	20.01.01.01	 GO:0006812	PMID:15486203
NCU00352	20.03.22	 GO:0042626	PMID:15486203
NCU00352	20.09.07	 GO:0016192	PMID:15486203
NCU00352	70.08	 GO:0005794	PMID:15486203
NCU00355	32.01	 GO:0006950	PMID:15486203
NCU00355	32.07.07.01	 GO:0004096	PMID:15486203
NCU00371	14.04	 GO:0006605	PMID:15486203
NCU00371	20.09.04	 GO:0006839	PMID:15486203
NCU00371	70.16	 GO:0005739	PMID:15486203
NCU00376	16.01	 GO:0005515	PMID:15486203
NCU00376	16.19.05	 GO:0005525	PMID:15486203
NCU00378	01.05	 GO:0005975	PMID:15486203
NCU00385	02.45.15	 GO:0006091	PMID:15486203
NCU00385	20.03.22	 GO:0042626	PMID:15486203
NCU00385	20.09.04	 GO:0006839	PMID:15486203
NCU00385	34.01.01.03	 GO:0030641	PMID:15486203
NCU00385	70.16	 GO:0005739	PMID:15486203
NCU00389	16.19.05	 GO:0005525	PMID:15486203
NCU00395	12.07	 GO:0006445	PMID:15486203
NCU00405	12.10	 GO:0004812	PMID:15486203
NCU00405	70.03	 GO:0005737	PMID:15486203
NCU00406	14.07.03	 GO:0006468	PMID:15486203
NCU00406	30.01	 GO:0007242	PMID:15486203
NCU00410	12.04.03	 GO:0006415	PMID:15486203
NCU00410	70.03	 GO:0005737	PMID:15486203
NCU00413	70.03	 GO:0005737	PMID:15486203
NCU00418	70.16	 GO:0005739	PMID:15486203
NCU00419	11.02.01	 GO:0009303	PMID:15486203
NCU00419	11.02.02	 GO:0009304	PMID:15486203
NCU00419	70.10	 GO:0005634	PMID:15486203
NCU00421	11.02.03.04	 GO:0045449	PMID:15486203
NCU00422	16.03.01	 GO:0003677	PMID:15486203
NCU00428	10.01.05.01	 GO:0006281	PMID:15486203
NCU00428	10.01.05.03	 GO:0006310	PMID:15486203
NCU00431	14.04	 GO:0006605	PMID:15486203
NCU00431	20.09.04	 GO:0006839	PMID:15486203
NCU00431	70.16	 GO:0005739	PMID:15486203
NCU00435	14.04	 GO:0006605	PMID:15486203
NCU00435	20.09.13	 GO:0007034	PMID:15486203
NCU00435	70.25	 GO:0005764	PMID:15486203
NCU00436	16.19.05	 GO:0005525	PMID:15486203
NCU00436	42.16	 GO:0007005	PMID:15486203
NCU00436	70.16	 GO:0005739	PMID:15486203
NCU00437	01.01.09.06.02	 GO:0006569	PMID:15486203
NCU00437	01.02	 GO:0006807	PMID:15486203
NCU00438	01.03.01	 GO:0006163	PMID:15486203
NCU00440	16.19.05	 GO:0005525	PMID:15486203
NCU00443	10.03.01	 GO:0000074	PMID:15486203
NCU00444	01.04.04	 GO:0006795	PMID:15486203
NCU00444	01.05.25	 GO:0043609	PMID:15486203
NCU00444	10.03.01	 GO:0000074	PMID:15486203
NCU00444	11.02.03.01	 GO:0006350	PMID:15486203
NCU00444	34.11.03.07	 GO:0019236	PMID:15486203
NCU00444	70.10	 GO:0005634	PMID:15486203
NCU00446	01.06	 GO:0006629	PMID:15486203
NCU00447	01.06	 GO:0006629	PMID:15486203
NCU00447	01.07.01	 GO:0051188	PMID:15486203
NCU00455	30.01.05.01.03	 GO:0000165	PMID:15486203
NCU00455	34.11.03.07	 GO:0019236	PMID:15486203
NCU00457	12.04.01	 GO:0006413	PMID:15486203
NCU00461	01.01.03.02.02	 GO:0006538	PMID:15486203
NCU00463	01.01.09.06.02	 GO:0006569	PMID:15486203
NCU00463	01.07.01	 GO:0051188	PMID:15486203
NCU00465	14.01	 GO:0006457	PMID:15486203
NCU00466	12.10	 GO:0004812	PMID:15486203
NCU00467	34.11.01	 GO:0009583	PMID:15486203
NCU00469	42.04.05	 GO:0000226	PMID:15486203
NCU00472	14.01	 GO:0006457	PMID:15486203
NCU00472	16.01	 GO:0005515	PMID:15486203
NCU00477	14.13.04	 GO:0007039	PMID:15486203
NCU00478	30.01.09.07	 GO:0019933	PMID:15486203
NCU00481	14.13	 GO:0030163	PMID:15486203
NCU00481	34.11.03.07	 GO:0019236	PMID:15486203
NCU00484	70.16	 GO:0005739	PMID:15486203
NCU00493	14.10	 GO:0006461	PMID:15486203
NCU00493	70.03	 GO:0005737	PMID:15486203
NCU00502	02.13	 GO:0045333	PMID:15486203
NCU00502	20.03.22	 GO:0042626	PMID:15486203
NCU00502	34.01.01.03	 GO:0030641	PMID:15486203
NCU00502	70.16	 GO:0005739	PMID:15486203
NCU00505	11.04.03.01	 GO:0008380	PMID:15486203
NCU00505	70.10	 GO:0005634	PMID:15486203
NCU00506	20.01.27	 GO:0015893	PMID:15486203
NCU00517	10.03.01.03	 GO:0000075	PMID:15486203
NCU00522	01.01.06.05	 GO:0006555	PMID:15486203
NCU00523	10.01.09	 GO:0006304	PMID:15486203
NCU00523	11.02.03.04	 GO:0045449	PMID:15486203
NCU00536	01.01.09.03.01	 GO:0019344	PMID:15486203
NCU00548	01.03	 GO:0009117	PMID:15486203
NCU00549	01.20.37.01	 GO:0042964	PMID:15486203
NCU00552	01.06.06.13	 GO:0016109	PMID:15486203
NCU00553	30.01.05.05	 GO:0007186	PMID:15486203
NCU00554	01.01.06.06.01	 GO:0009085	PMID:15486203
NCU00556	40.01	 GO:0016049	PMID:15486203
NCU00560	10.03.01.01.03	 GO:0000082	PMID:15486203
NCU00564	70.16	 GO:0005739	PMID:15486203
NCU00565	01.07.01	 GO:0051188	PMID:15486203
