geneid	ecnumber
NCU07366	EC:2.6.1.16
NCU03004	EC:1.2.4.1
NCU03004	EC:1.2.1.-
NCU16440	EC:2.1.1.51
NCU00565	EC:2.8.1.8
NCU00727	EC:2.7.7.6
NCU01940	EC:2.7.11.1
NCU08746	EC:3.2.1.3
NCU03445	EC:1.14.11.2
NCU01498	EC:2.7.11.1
NCU05376	EC:1.14.13.70
NCU03953	EC:1.6.5.3
NCU03953	EC:1.6.99.3
NCU05216	EC:2.1.1.-
NCU05216	EC:2.1.1.79
NCU08671	EC:2.7.4.2
NCU06550	EC:4.3.3.6
NCU05298	EC:1.7.1.3
NCU06416	EC:1.14.11.4
NCU06416	EC:1.14.11.6
NCU07443	EC:3.6.3.1
NCU00520	EC:1.14.11.4
NCU00520	EC:1.14.11.7
NCU02476	EC:1.1.1.190
NCU02476	EC:1.1.1.1
NCU02979	EC:3.5.4.6
NCU09300	EC:3.1.3.16
NCU09378	EC:2.7.7.6
NCU04699	EC:2.1.1.16
NCU04699	EC:2.1.1.17
NCU04699	EC:2.1.1.71
NCU09538	EC:3.4.13.19
NCU06732	EC:3.3.2.6
NCU02936	EC:1.5.99.8
NCU02468	EC:2.3.1.24
NCU00682	EC:2.7.11.1
NCU08054	EC:3.2.1.21
NCU00690	EC:3.1.26.5
NCU05584	EC:3.4.23.32
NCU05516	EC:2.3.1.181
NCU05516	EC:6.3.4.10
NCU05516	EC:6.3.4.11
NCU05516	EC:6.3.4.9
NCU05516	EC:6.3.4.15
NCU09185	EC:1.14.13.15
NCU02395	EC:4.2.1.75
NCU02480	EC:1.3.1.9
NCU02480	EC:1.1.1.47
NCU02480	EC:1.1.1.35
NCU02032	EC:3.2.1.101
NCU08706	EC:2.7.7.7
NCU08475	EC:2.1.1.43
NCU01484	EC:2.4.1.34
NCU03575	EC:6.1.1.5
NCU10387	EC:1.14.13.8
NCU02996	EC:3.6.1.10
NCU02996	EC:3.6.1.11
NCU03241	EC:5.2.1.8
NCU00715	EC:1.2.1.8
NCU09199	EC:1.10.3.1
NCU09199	EC:1.14.18.1
NCU09199	EC:1.14.18.-
NCU09199	EC:1.10.3.-
NCU04426	EC:2.7.11.1
NCU06318	EC:3.6.4.4
NCU06318	EC:3.6.4.9
NCU06318	EC:3.6.5.5
NCU06318	EC:3.6.1.15
NCU06318	EC:3.6.5.-
NCU06697	EC:3.1.4.12
NCU08177	EC:2.7.11.1
NCU09456	EC:1.14.13.8
NCU05777	EC:3.1.2.15
NCU02455	EC:5.2.1.8
NCU00776	EC:1.14.18.1
NCU00776	EC:1.14.18.-
NCU00776	EC:1.10.3.-
NCU02677	EC:6.3.5.5
NCU08044	EC:1.1.1.62
NCU07974	EC:3.2.1.4
NCU07280	EC:2.7.11.1
NCU04452	EC:1.3.1.42
NCU04452	EC:1.6.99.1
NCU08762	EC:1.3.1.70
NCU06254	EC:2.7.1.160
NCU00106	EC:2.7.2.11
NCU00709	EC:3.2.1.21
NCU00709	EC:3.2.1.37
NCU00680	EC:4.2.1.79
NCU00680	EC:4.2.1.117
NCU09077	EC:3.1.26.5
NCU01786	EC:2.7.6.1
NCU09534	EC:1.11.1.15
NCU01443	EC:6.1.1.11
NCU04230	EC:4.1.3.1
NCU01103	EC:4.2.1.1
NCU03763	EC:2.7.7.7
NCU00130	EC:3.2.1.21
NCU08175	EC:2.7.11.1
NCU09209	EC:1.1.3.9
NCU04387	EC:3.6.3.14
NCU00108	EC:2.7.11.1
NCU00181	EC:5.2.1.8
NCU00081	EC:5.99.1.2
NCU00578	EC:5.2.1.8
NCU01853	EC:1.1.99.1
NCU05971	EC:3.4.13.9
NCU01195	EC:1.4.1.4
NCU01388	EC:2.4.1.131
NCU03657	EC:3.2.1.106
NCU06112	EC:4.1.1.15
NCU01517	EC:3.2.1.3
NCU06761	EC:4.1.2.27
NCU09582	EC:3.5.1.41
NCU02624	EC:1.14.13.70
NCU03071	EC:2.7.11.1
NCU03026	EC:3.2.1.14
NCU00567	EC:2.7.2.8
NCU00567	EC:1.2.1.38
NCU01905	EC:1.1.1.14
NCU02786	EC:5.1.3.3
NCU09600	EC:3.1.1.45
NCU05429	EC:2.4.1.18
NCU08293	EC:3.6.1.29
NCU06353	EC:6.3.3.2
NCU01175	EC:2.5.1.10
NCU01175	EC:2.5.1.1
NCU07156	EC:2.4.2.-
NCU04623	EC:3.2.1.23
NCU01119	EC:5.4.99.7
NCU01449	EC:3.5.4.25
NCU07870	EC:2.7.7.7
NCU00477	EC:3.4.16.5
NCU02665	EC:2.3.1.20
NCU01951	EC:2.7.7.7
NCU02566	EC:6.1.1.7
NCU00978	EC:2.7.11.1
NCU16367	EC:2.4.1.198
NCU09805	EC:3.2.1.1
NCU07351	EC:3.2.1.139
NCU07585	EC:1.3.1.76
NCU07585	EC:4.99.1.4
NCU06386	EC:2.4.1.117
NCU09649	EC:3.1.3.2
NCU09649	EC:3.1.4.12
NCU03181	EC:3.1.1.72
NCU08615	EC:1.14.18.1
NCU08341	EC:3.6.3.4
NCU03957	EC:1.14.-.-
NCU03957	EC:1.13.-.-
NCU06011	EC:3.6.3.44
NCU09789	EC:6.3.4.4
NCU05638	EC:2.7.11.1
NCU06554	EC:3.1.3.3
NCU08030	EC:2.7.7.6
NCU03826	EC:2.5.1.18
NCU06694	EC:2.3.1.119
NCU07808	EC:1.14.99.3
NCU01258	EC:4.2.1.104
NCU09844	EC:4.1.1.45
NCU03682	EC:3.1.21.1
NCU04579	EC:4.2.1.9
NCU08133	EC:4.2.1.1
NCU00836	EC:3.2.1.4
NCU08661	EC:6.3.2.1
NCU06344	EC:5.3.4.1
NCU03739	EC:5.3.4.1
NCU06939	EC:3.1.2.15
NCU05850	EC:1.18.1.1
NCU09406	EC:1.4.3.22
NCU05224	EC:2.7.1.-
NCU05224	EC:2.7.1.48
NCU06315	EC:2.7.1.151
NCU07965	EC:2.4.1.83
NCU06969	EC:3.1.3.16
NCU06969	EC:3.1.3.48
NCU09189	EC:2.7.11.1
NCU06481	EC:6.5.1.1
NCU10397	EC:2.7.1.67
NCU00008	EC:2.3.1.24
NCU02042	EC:1.3.1.24
NCU02042	EC:1.5.1.30
NCU02124	EC:3.1.1.45
NCU10893	EC:3.6.1.23
NCU02812	EC:2.7.4.3
NCU02812	EC:2.7.4.14
NCU05539	EC:3.1.4.37
NCU04109	EC:2.5.1.18
NCU01300	EC:4.2.1.19
NCU09842	EC:2.7.11.24
NCU09842	EC:2.7.11.1
NCU06063	EC:6.2.1.3
NCU06063	EC:6.2.1.15
NCU02417	EC:2.3.1.88
NCU00896	EC:3.1.3.-
NCU08605	EC:3.4.25.1
NCU06630	EC:3.1.3.16
NCU06630	EC:3.1.4.12
NCU06343	EC:2.3.1.178
NCU00484	EC:1.6.5.3
NCU08755	EC:3.2.1.21
NCU00597	EC:4.1.2.4
NCU05094	EC:1.1.1.206
NCU05601	EC:4.4.1.17
NCU09862	EC:2.1.1.51
NCU09862	EC:2.1.1.-
NCU05038	EC:1.21.3.1
NCU05038	EC:1.14.11.11
NCU05038	EC:1.14.11.4
NCU05038	EC:1.14.11.15
NCU05091	EC:3.1.26.4
NCU05113	EC:1.10.3.2
NCU05113	EC:1.7.2.1
NCU01162	EC:3.2.1.4
NCU04621	EC:1.13.11.12
NCU02450	EC:4.3.1.18
NCU02450	EC:4.3.1.19
NCU02373	EC:1.6.5.3
NCU06951	EC:1.3.1.24
NCU06951	EC:1.5.1.30
NCU06764	EC:3.4.25.1
NCU01371	EC:3.1.3.27
NCU09322	EC:3.5.2.6
NCU07483	EC:1.1.1.49
NCU02079	EC:2.7.11.22
NCU03170	EC:2.8.1.-
NCU00915	EC:6.1.1.12
NCU00667	EC:3.6.3.14
NCU03426	EC:3.1.3.16
NCU03426	EC:3.1.3.48
NCU08441	EC:6.2.1.2
NCU08441	EC:6.2.1.3
NCU01525	EC:3.5.1.98
NCU07271	EC:3.1.26.11
NCU07035	EC:3.2.1.14
NCU09548	EC:3.1.1.47
NCU07811	EC:1.17.4.1
NCU01399	EC:1.1.1.47
NCU01399	EC:1.1.1.206
NCU07221	EC:2.7.13.3
NCU03670	EC:3.1.1.4
NCU06177	EC:2.7.11.1
NCU00206	EC:1.1.99.18
NCU00206	EC:1.1.3.4
NCU10007	EC:2.3.3.9
NCU00606	EC:1.1.1.47
NCU03156	EC:1.6.5.3
NCU10762	EC:2.7.8.15
NCU07010	EC:2.7.4.21
NCU07010	EC:2.7.4.24
NCU16852	EC:1.1.1.269
NCU00498	EC:3.5.4.-
NCU05941	EC:1.11.1.10
NCU05159	EC:3.1.1.72
NCU04008	EC:3.6.3.14
NCU04129	EC:2.1.1.95
NCU03611	EC:2.4.1.212
NCU03611	EC:2.4.1.16
NCU01206	EC:2.1.1.43
NCU09680	EC:3.2.1.4
NCU10061	EC:3.4.25.1
NCU04233	EC:2.7.11.20
NCU04581	EC:3.6.4.4
NCU01332	EC:3.6.3.14
NCU07849	EC:1.3.3.11
NCU07849	EC:2.7.1.49
