funcatid	gotermid
20.09.16.04	 GO:0030255
20.09.16.05	 GO:0030255
20.09.16.09	 GO:0006887
20.09.16.09.03	 GO:0006887
20.09.16.09.05	 GO:0016079
20.09.18.09.01	 GO:0006897
20.09.18.09.01.01	 GO:0006898
30	 GO:0007165
30.01	 GO:0007242
30.01.05.01	 GO:0007243
30.01.05.01.01	 GO:0007259
30.01.05.01.02	 GO:0007254
30.01.05.01.03	 GO:0000165
30.01.05.01.04	 GO:0007249
30.01.05.05	 GO:0007186
30.01.05.05.01	 GO:0007264
30.01.05.07	 GO:0000160
30.01.09	 GO:0019932
30.01.09.01	 GO:0007263
30.01.09.03	 GO:0019722
30.01.09.07	 GO:0019933
30.01.09.08	 GO:0009755
30.05	 GO:0007166
30.05.01	 GO:0007167
30.05.01.10	 GO:0000160
30.05.01.12	 GO:0007169
30.05.01.12.01	 GO:0007173
30.05.01.12.03	 GO:0008543
30.05.01.12.04	 GO:0048009
30.05.01.12.05	 GO:0008286
30.05.01.18	 GO:0007178
30.05.01.18.01	 GO:0007179
30.05.02.14	 GO:0007219
30.05.02.16	 GO:0007224
30.05.02.20	 GO:0016055
30.05.02.24	 GO:0007186
30.05.02.24.01	 GO:0007210
30.05.02.24.02	 GO:0007213
30.05.02.24.03	 GO:0007212
30.05.02.24.04	 GO:0007214
30.05.02.24.05	 GO:0007215
30.05.02.24.06	 GO:0007218
30.05.02.26	 GO:0007229
32.01	 GO:0006950
32.01.01	 GO:0006979
32.01.03	 GO:0006970
32.01.04	 GO:0009268
32.01.05	 GO:0009408
32.01.06	 GO:0009409
32.01.07	 GO:0030968
32.01.09	 GO:0006974
32.01.11	 GO:0042594
32.01.13	 GO:0009314
32.05.05.09	 GO:0020012
32.07.07.01	 GO:0004096
32.07.07.03	 GO:0004364
32.07.07.05	 GO:0004601
32.07.07.07	 GO:0006801
34.01	 GO:0006873
34.01.01	 GO:0030003
34.01.01.01	 GO:0006875
34.01.01.03	 GO:0030641
34.01.03	 GO:0030002
34.01.03.01	 GO:0030642
34.01.03.03	 GO:0030643
34.01.03.05	 GO:0030644
34.03.01	 GO:0007268
34.03.03	 GO:0019227
34.05	 GO:0006928
34.05.01	 GO:0016477
34.05.07	 GO:0001539
34.07	 GO:0007155
34.07.01	 GO:0016337
34.07.02	 GO:0007160
34.11	 GO:0051606
34.11.01	 GO:0009583
34.11.01.03	 GO:0007601
34.11.01.05	 GO:0042331
34.11.03	 GO:0009593
34.11.12	 GO:0009594
34.11.03.03	 GO:0006935
34.11.03.07	 GO:0019236
34.11.03.11	 GO:0009268
34.11.03.13	 GO:0005034
34.11.03.15	 GO:0009372
34.11.05	 GO:0009612
34.11.07	 GO:0009629
34.11.08	 GO:0051602
34.11.09	 GO:0009266
34.11.11	 GO:0048511
34.11.13.01	 GO:0007585
34.11.13.03	 GO:0043576
34.11.13.07	 GO:0008015
36.20.16.03	 GO:0009682
36.20.16.05	 GO:0009627
36.20.16.07	 GO:0009626
36.20.18.01	 GO:0009733
36.20.18.02	 GO:0009723
36.20.18.03	 GO:0009739
36.20.18.04	 GO:0009735
36.20.18.05	 GO:0009737
36.20.18.06	 GO:0009741
34.01.05-	 GO:0009415
34.11.03.04	 GO:0043577
34.11.01.01	 GO:0009416
34.11.01.02	 GO:0009638
34.11.07.01	 GO:0009630
36.25.01.01	 GO:0007601
36.25.01.03	 GO:0007605
36.25.01.05	 GO:0050975
36.25.01.07	 GO:0050957
36.25.01.09	 GO:0019230
36.25.01.11	 GO:0050909
