geneid	pubmedid	annotationmethod	annotationsource
NCU00144	22445960	Manual	Broad_CAP
NCU00144	23733042	Manual	Broad_CAP
NCU00144	24037267	Manual	Broad_CAP
NCU00145	11901114	Manual	Broad_CAP
NCU00145	15007097	Manual	Broad_CAP
NCU00145	21505064	Manual	Broad_CAP
NCU00145	22626843	Manual	Broad_CAP
NCU00147	19230635	Manual	Broad_CAP
NCU00147	23417067	Manual	Broad_CAP
NCU00149	23733042	Manual	Broad_CAP
NCU00150	19696111	Manual	Broad_CAP
NCU00150	23935467	Manual	Broad_CAP
NCU00151	22152473	Manual	Broad_CAP
NCU00152	19696111	Manual	Broad_CAP
NCU00153	19239619	Manual	Broad_CAP
NCU00153	19520721	Manual	Broad_CAP
NCU00153	22100504	Manual	Broad_CAP
NCU00153	22470547	Manual	Broad_CAP
NCU00153	23733042	Manual	Broad_CAP
NCU00153	24037267	Manual	Broad_CAP
NCU00155	21081763	Manual	Broad_CAP
NCU00157	15961524	Manual	Broad_CAP
NCU00157	21079689	Manual	Broad_CAP
NCU00157	23173086	Manual	Broad_CAP
NCU00160	19520721	Manual	Broad_CAP
NCU00160	22152473	Manual	Broad_CAP
NCU00160	23733042	Manual	Broad_CAP
NCU00160	23935467	Manual	Broad_CAP
NCU00161	19696111	Manual	Broad_CAP
NCU00161	23589521	Manual	Broad_CAP
NCU00162	22469835	Manual	Broad_CAP
NCU00162	23125351	Manual	Broad_CAP
NCU00162	24037267	Manual	Broad_CAP
NCU00163	15007097	Manual	Broad_CAP
NCU00163	22445960	Manual	Broad_CAP
NCU00164	15007097	Manual	Broad_CAP
NCU00166	19520721	Manual	Broad_CAP
NCU00166	19696111	Manual	Broad_CAP
NCU00166	22345350	Manual	Broad_CAP
NCU00168	19696111	Manual	Broad_CAP
NCU00169	19696111	Manual	Broad_CAP
NCU00169	22345350	Manual	Broad_CAP
NCU00169	22462823	Manual	Broad_CAP
NCU00169	22474347	Manual	Broad_CAP
NCU00169	22532664	Manual	Broad_CAP
NCU00169	24037267	Manual	Broad_CAP
NCU00170	24037267	Manual	Broad_CAP
NCU00171	18676954	Manual	Broad_CAP
NCU00171	19696111	Manual	Broad_CAP
NCU00172	16287898	Manual	Broad_CAP
NCU00172	22152473	Manual	Broad_CAP
NCU00172	22469835	Manual	Broad_CAP
NCU00173	19696111	Manual	Broad_CAP
NCU00173	22345350	Manual	Broad_CAP
NCU00173	23589521	Manual	Broad_CAP
NCU00173	23966547	Manual	Broad_CAP
NCU00175	20870880	Manual	Broad_CAP
NCU00175	22462823	Manual	Broad_CAP
NCU00175	22879952	Manual	Broad_CAP
NCU00175	23733042	Manual	Broad_CAP
NCU00175	24037267	Manual	Broad_CAP
NCU00177	19696111	Manual	Broad_CAP
NCU00177	22001287	Manual	Broad_CAP
NCU00177	23589521	Manual	Broad_CAP
NCU00177	23935467	Manual	Broad_CAP
NCU00177	24037267	Manual	Broad_CAP
NCU00180	19696111	Manual	Broad_CAP
NCU00180	23589521	Manual	Broad_CAP
NCU00180	23733042	Manual	Broad_CAP
NCU00180	23125351	Manual	Broad_CAP
NCU00182	22462823	Manual	Broad_CAP
NCU00184	22469835	Manual	Broad_CAP
NCU00184	23125351	Manual	Broad_CAP
NCU00187	23733042	Manual	Broad_CAP
NCU00187	23935467	Manual	Broad_CAP
NCU00192	23733042	Manual	Broad_CAP
NCU00194	140163	Manual	Broad_CAP
NCU00194	2137713	Manual	Broad_CAP
NCU00194	2951253	Manual	Broad_CAP
NCU00194	2978956	Manual	Broad_CAP
NCU00194	5674052	Manual	Broad_CAP
NCU00194	5674053	Manual	Broad_CAP
NCU00194	6444407	Manual	Broad_CAP
NCU00194	22152473	Manual	Broad_CAP
NCU00194	23733042	Manual	Broad_CAP
NCU00194	23935467	Manual	Broad_CAP
NCU00194	24037267	Manual	Broad_CAP
NCU00194	2534965	Manual	Broad_CAP
NCU00194	6450741	Manual	Broad_CAP
NCU00195	19696111	Manual	Broad_CAP
NCU00195	23589521	Manual	Broad_CAP
NCU00196	22445960	Manual	Broad_CAP
NCU00196	23935534	Manual	Broad_CAP
NCU00198	14722057	Manual	Broad_CAP
NCU00198	19696111	Manual	Broad_CAP
NCU00198	22152473	Manual	Broad_CAP
NCU00200	17449655	Manual	Broad_CAP
NCU00200	1834495	Manual	Broad_CAP
NCU00200	2942762	Manual	Broad_CAP
NCU00200	5111360	Manual	Broad_CAP
NCU00200	5216358	Manual	Broad_CAP
NCU00200	5474827	Manual	Broad_CAP
NCU00200	16287898	Manual	Broad_CAP
NCU00200	19696111	Manual	Broad_CAP
NCU00200	23589521	Manual	Broad_CAP
NCU00200	23935467	Manual	Broad_CAP
NCU00200	2946679	Manual	Broad_CAP
NCU00200	6290461	Manual	Broad_CAP
NCU00201	20675579	Manual	Broad_CAP
NCU00202	18676954	Manual	Broad_CAP
NCU00202	20675579	Manual	Broad_CAP
NCU00202	20885793	Manual	Broad_CAP
NCU00203	15007097	Manual	Broad_CAP
NCU00203	20675579	Manual	Broad_CAP
NCU00203	22626843	Manual	Broad_CAP
NCU00203	23966547	Manual	Broad_CAP
NCU00206	20018766	Manual	Broad_CAP
NCU00206	21216904	Manual	Broad_CAP
NCU00206	21744778	Manual	Broad_CAP
NCU00206	22004347	Manual	Broad_CAP
NCU00206	22345350	Manual	Broad_CAP
NCU00206	22462823	Manual	Broad_CAP
NCU00206	22471986	Manual	Broad_CAP
NCU00206	22474347	Manual	Broad_CAP
NCU00206	22532664	Manual	Broad_CAP
NCU00206	22729546	Manual	Broad_CAP
NCU00206	23766336	Manual	Broad_CAP
NCU00207	22152473	Manual	Broad_CAP
NCU00209	19696111	Manual	Broad_CAP
NCU00209	22462823	Manual	Broad_CAP
NCU00209	24037267	Manual	Broad_CAP
NCU00211	19696111	Manual	Broad_CAP
NCU00211	20675579	Manual	Broad_CAP
NCU00211	21980519	Manual	Broad_CAP
NCU00211	24037267	Manual	Broad_CAP
NCU00212	11901114	Manual	Broad_CAP
NCU00212	15007097	Manual	Broad_CAP
NCU00212	19230635	Manual	Broad_CAP
NCU00212	16287898	Manual	Broad_CAP
NCU00212	22152473	Manual	Broad_CAP
NCU00216	19696111	Manual	Broad_CAP
NCU00216	20675579	Manual	Broad_CAP
NCU00216	22462823	Manual	Broad_CAP
NCU00219	19696111	Manual	Broad_CAP
NCU00219	23966547	Manual	Broad_CAP
NCU00220	22152473	Manual	Broad_CAP
NCU00225	20018766	Manual	Broad_CAP
NCU00225	19696111	Manual	Broad_CAP
NCU00225	22462823	Manual	Broad_CAP
NCU00225	23733042	Manual	Broad_CAP
NCU00225	24037267	Manual	Broad_CAP
NCU00226	20018766	Manual	Broad_CAP
NCU00226	23125351	Manual	Broad_CAP
NCU00227	19520721	Manual	Broad_CAP
NCU00227	22152473	Manual	Broad_CAP
NCU00230	21965514	Manual	Broad_CAP
NCU00230	22001287	Manual	Broad_CAP
NCU00232	19696111	Manual	Broad_CAP
NCU00232	23589521	Manual	Broad_CAP
NCU00233	15007097	Manual	Broad_CAP
NCU00233	16801547	Manual	Broad_CAP
NCU00233	19696111	Manual	Broad_CAP
NCU00233	22445960	Manual	Broad_CAP
NCU00236	20675579	Manual	Broad_CAP
NCU00239	16287898	Manual	Broad_CAP
NCU00240	22152473	Manual	Broad_CAP
NCU00240	22462823	Manual	Broad_CAP
NCU00241	22152473	Manual	Broad_CAP
NCU00241	22955885	Manual	Broad_CAP
NCU00242	22001287	Manual	Broad_CAP
NCU00243	18676954	Manual	Broad_CAP
NCU00243	19696111	Manual	Broad_CAP
NCU00244	22152473	Manual	Broad_CAP
NCU00244	22445960	Manual	Broad_CAP
NCU00244	22626843	Manual	Broad_CAP
NCU00246	22462823	Manual	Broad_CAP
NCU00247	19696111	Manual	Broad_CAP
NCU00248	22152473	Manual	Broad_CAP
NCU00248	22345350	Manual	Broad_CAP
NCU00249	19520721	Manual	Broad_CAP
NCU00249	19696111	Manual	Broad_CAP
NCU00251	22152473	Manual	Broad_CAP
NCU00257	8643479	Manual	Broad_CAP
NCU00257	9159520	Manual	Broad_CAP
NCU00257	9348657	Manual	Broad_CAP
NCU00258	19230635	Manual	Broad_CAP
NCU00258	20018766	Manual	Broad_CAP
NCU00258	9021131	Manual	Broad_CAP
NCU00258	16287898	Manual	Broad_CAP
NCU00258	22462823	Manual	Broad_CAP
NCU00258	22813893	Manual	Broad_CAP
NCU00258	23125351	Manual	Broad_CAP
NCU00258	23733042	Manual	Broad_CAP
NCU00258	24037267	Manual	Broad_CAP
NCU00260	22001287	Manual	Broad_CAP
NCU00261	20018766	Manual	Broad_CAP
NCU00261	22462823	Manual	Broad_CAP
NCU00261	23935467	Manual	Broad_CAP
NCU00262	19696111	Manual	Broad_CAP
NCU00263	19520721	Manual	Broad_CAP
NCU00263	20018766	Manual	Broad_CAP
NCU00263	19696111	Manual	Broad_CAP
NCU00263	21980519	Manual	Broad_CAP
NCU00263	22462823	Manual	Broad_CAP
NCU00265	18676954	Manual	Broad_CAP
NCU00265	19555771	Manual	Broad_CAP
NCU00265	19696111	Manual	Broad_CAP
NCU00265	20870880	Manual	Broad_CAP
NCU00265	21980519	Manual	Broad_CAP
NCU00265	22152473	Manual	Broad_CAP
NCU00265	22445960	Manual	Broad_CAP
NCU00265	22879952	Manual	Broad_CAP
NCU00265	23589521	Manual	Broad_CAP
NCU00265	24037267	Manual	Broad_CAP
NCU00268	23125351	Manual	Broad_CAP
NCU00269	15007097	Manual	Broad_CAP
NCU00269	19520721	Manual	Broad_CAP
NCU00269	22626843	Manual	Broad_CAP
NCU00269	22813893	Manual	Broad_CAP
NCU00270	22001287	Manual	Broad_CAP
NCU00272	18676954	Manual	Broad_CAP
NCU00272	20885793	Manual	Broad_CAP
NCU00272	21151958	Manual	Broad_CAP
