geneid	geneidv1	geneidv2	geneidv3	geneidv4	geneidv5
NCU06524	NCU06524.1	NCU06524.2	NCU06524.3	NCU06524.4	NCU06524.5
NCU06525	NCU06525.1	NCU06525.2	NCU06525.3	NCU06525.4	NCU06525.5
NCU06526	NCU06526.1	NCU06526.2	NCU06526.3	NCU06526.4	NCU06526.5
NCU06529	NCU06529.1	NCU06529.2	NCU06529.3	NCU06529.4	NCU06529.5
NCU06530	NCU06530.1	NCU06530.2	NCU06530.3	NCU06530.4	NCU06530.5
NCU06531	NCU06531.1	NCU06531.2	NCU06531.3	NCU06531.4	NCU06531.5
NCU06532	NCU06532.1	NCU06532.2	NCU06532.3	NCU06532.4	NCU06532.5
NCU06533	NCU06533.1	NCU06533.2	NCU06533.3	NCU06533.4	NCU06533.5
NCU06534	NCU06534.1	NCU06534.2	NCU06534.3	NCU06534.4	NCU06534.5
NCU06536	NCU06536.1	NCU06536.2	NCU06536.3	NCU06536.4	NCU06536.5
NCU06537	NCU06537.1	NCU06537.2	NCU06537.3	NCU06537.4	NCU06537.5
NCU06538	NCU06538.1	NCU06538.2	NCU06538.3	NCU06538.4	NCU06538.5
NCU06539	NCU06539.1	NCU06539.2	NCU06539.3	NCU06539.4	NCU06539.5
NCU06540	NCU06540.1	NCU06540.2	NCU06540.3	NCU06540.4	NCU06540.5
NCU06541	NCU06541.1	NCU06541.2	NCU06541.3	NCU06541.4	NCU06541.5
NCU06542	NCU06542.1	NCU06542.2	NCU06542.3	NCU06542.4	NCU06542.5
NCU06543	NCU06543.1	NCU06543.2	NCU06543.3	NCU06543.4	NCU06543.5
NCU06544	NCU06544.1	NCU06544.2	NCU06544.3	NCU06544.4	NCU06544.5
NCU06546	NCU06546.1	NCU06546.2	NCU06546.3	NCU06546.4	NCU06546.5
NCU06547	NCU06547.1	NCU06547.2	NCU06547.3	NCU06547.4	NCU06547.5
NCU06548	NCU06548.1	NCU06548.2	NCU06548.3	NCU06548.4	NCU06548.5
NCU06549	NCU06549.1	NCU06549.2	NCU06549.3	NCU06549.4	NCU06549.5
NCU06550	NCU06550.1	NCU06550.2	NCU06550.3	NCU06550.4	NCU06550.5
NCU06551	NCU06551.1	NCU06551.2	NCU06551.3	NCU06551.4	NCU06551.5
NCU06552	NCU06552.1	NCU06552.2	NCU06552.3	NCU06552.4	NCU06552.5
NCU06553	NCU06553.1	NCU06553.2	NCU06553.3	NCU06553.4	NCU06553.5
NCU06554	NCU06554.1	NCU06554.2	NCU06554.3	NCU06554.4	NCU06554.5
NCU06555	NCU06555.1	NCU06555.2	NCU06555.3	NCU06555.4	NCU06555.5
NCU06556	NCU06556.1	NCU06556.2	NCU06556.3	NCU06556.4	NCU06556.5
NCU06557	NCU06557.1	NCU06557.2	NCU06557.3	NCU06557.4	NCU06557.5
NCU06558	NCU06558.1	NCU06558.2	NCU06558.3	NCU06558.4	NCU06558.5
NCU06559	NCU06559.1	NCU06559.2	NCU06559.3	NCU06559.4	NCU06559.5
NCU06560	NCU06560.1	NCU06560.2	NCU06560.3	NCU06560.4	NCU06560.5
NCU06561	NCU06561.1	NCU06561.2	NCU06561.3	NCU06561.4	NCU06561.5
NCU06563	NCU06563.1	NCU06563.2	NCU06563.3	NCU06563.4	NCU06563.5
NCU06565	NCU06565.1	NCU06565.2	NCU06565.3	NCU06565.4	NCU06565.5
NCU06566	NCU06566.1	NCU06566.2	NCU06566.3	NCU06566.4	NCU06566.5
NCU06568	NCU06568.1	NCU06568.2	NCU06568.3	NCU06568.4	NCU06568.5
NCU06569	NCU06569.1	NCU06569.2	NCU06569.3	NCU06569.4	NCU06569.5
NCU06570	NCU06570.1	NCU06570.2	NCU06570.3	NCU06570.4	NCU06570.5
NCU06571	NCU06571.1	NCU06571.2	NCU06571.3	NCU06571.4	NCU06571.5
NCU06572	NCU06572.1	NCU06572.2	NCU06572.3	NCU06572.4	NCU06572.5
NCU06573	NCU06573.1	NCU06573.2	NCU06573.3	NCU06573.4	NCU06573.5
NCU06574	NCU06574.1	NCU06574.2	NCU06574.3	NCU06574.4	NCU06574.5
NCU06575	NCU06575.1	NCU06575.2	NCU06575.3	NCU06575.4	NCU06575.5
NCU06576	NCU06576.1	NCU06576.2	NCU06576.3	NCU06576.4	NCU06576.5
NCU06577	NCU06577.1	NCU06577.2	NCU06577.3	NCU06577.4	NCU06577.5
NCU06578	NCU06578.1	NCU06578.2	NCU06578.3	NCU06578.4	NCU06578.5
NCU06579	NCU06579.1	NCU06579.2	NCU06579.3	NCU06579.4	NCU06579.5
NCU06581	NCU06581.1	NCU06581.2	NCU06581.3	NCU06581.4	NCU06581.5
NCU06582	NCU06582.1	NCU06582.2	NCU06582.3	NCU06582.4	NCU06582.5
NCU06583	NCU06583.1	NCU06583.2	NCU06583.3	NCU06583.4	NCU06583.5
NCU06584	NCU06584.1	NCU06584.2	NCU06584.3	NCU06584.4	NCU06584.5
NCU06585	NCU06585.1	NCU06585.2	NCU06585.3	NCU06585.4	NCU06585.5
NCU06586	NCU06586.1	NCU06586.2	NCU06586.3	NCU06586.4	NCU06586.5
NCU06587	NCU06587.1	NCU06587.2	NCU06587.3	NCU06587.4	NCU06587.5
NCU06588	NCU06588.1	NCU06588.2	NCU06588.3	NCU06588.4	NCU06588.5
NCU06589	NCU06589.1	NCU06589.2	NCU06589.3	NCU06589.4	NCU06589.5
NCU06590	NCU06590.1	NCU06590.2	NCU06590.3	NCU06590.4	NCU06590.5
NCU06591	NCU06591.1	NCU06591.2	NCU06591.3	NCU06591.4	NCU06591.5
NCU06592	NCU06592.1	NCU06592.2	NCU06592.3	NCU06592.4	NCU06592.5
NCU06593	NCU06593.1	NCU06593.2	NCU06593.3	NCU06593.4	NCU06593.5
NCU06594	NCU06594.1	NCU06594.2	NCU06594.3	NCU06594.4	NCU06594.5
NCU06595	NCU06595.1	NCU06595.2	NCU06595.3	NCU06595.4	NCU06595.5
NCU06596	NCU06596.1	NCU06596.2	NCU06596.3	NCU06596.4	NCU06596.5
NCU06597	NCU06597.1	NCU06597.2	NCU06597.3	NCU06597.4	NCU06597.5
NCU06598	NCU06598.1	NCU06598.2	NCU06598.3	NCU06598.4	NCU06598.5
NCU06599	NCU06599.1	NCU06599.2	NCU06599.3	NCU06599.4	NCU06599.5
NCU06601	NCU06601.1	NCU06601.2	NCU06601.3	NCU06601.4	NCU06601.5
NCU06602	NCU06602.1	NCU06602.2	NCU06602.3	NCU06602.4	NCU06602.5
NCU06603	NCU06603.1	NCU06603.2	NCU06603.3	NCU06603.4	NCU06603.5
NCU06604	NCU06604.1	NCU06604.2	NCU06604.3	NCU06604.4	NCU06604.5
NCU06605	NCU06605.1	NCU06605.2	NCU06605.3	NCU06605.4	NCU06605.5
NCU06606	NCU06606.1	NCU06606.2	NCU06606.3	NCU06606.4	NCU06606.5
NCU06607	NCU06607.1	NCU06607.2	NCU06607.3	NCU06607.4	NCU06607.5
NCU06608	NCU06608.1	NCU06608.2	NCU06608.3	NCU06608.4	NCU06608.5
NCU06609	NCU06609.1	NCU06609.2	NCU06609.3	NCU06609.4	NCU06609.5
NCU06610	NCU06610.1	NCU06610.2	NCU06610.3	NCU06610.4	NCU06610.5
NCU06611	NCU06611.1	NCU06611.2	NCU06611.3	NCU06611.4	NCU06611.5
NCU06612	NCU06612.1	NCU06612.2	NCU06612.3	NCU06612.4	NCU06612.5
NCU06613	NCU06613.1	NCU06613.2	NCU06613.3	NCU06613.4	NCU06613.5
NCU06614	NCU06614.1	NCU06614.2	NCU06614.3	NCU06614.4	NCU06614.5
NCU06615	NCU06615.1	NCU06615.2	NCU06615.3	NCU06615.4	NCU06615.5
NCU06616	NCU06616.1	NCU06616.2	NCU06616.3	NCU06616.4	NCU06616.5
NCU06617	NCU06617.1	NCU06617.2	NCU06617.3	NCU06617.4	NCU06617.5
NCU06618	NCU06618.1	NCU06618.2	NCU06618.3	NCU06618.4	NCU06618.5
NCU06619	NCU06619.1	NCU06619.2	NCU06619.3	NCU06619.4	NCU06619.5
NCU06620	NCU06620.1	NCU06620.2	NCU06620.3	NCU06620.4	NCU06620.5
NCU06621	NCU06621.1	NCU06621.2	NCU06621.3	NCU06621.4	NCU06621.5
NCU06622	NCU06622.1	NCU06622.2	NCU06622.3	NCU06622.4	NCU06622.5
NCU06623	NCU06623.1	NCU06623.2	NCU06623.3	NCU06623.4	NCU06623.5
NCU06624	NCU06624.1	NCU06624.2	NCU06624.3	NCU06624.4	NCU06624.5
NCU06625	NCU06625.1	NCU06625.2	NCU06625.3	NCU06625.4	NCU06625.5
NCU06626	NCU06626.1	NCU06626.2	NCU06626.3	NCU06626.4	NCU06626.5
NCU06627	NCU06627.1	NCU06627.2	NCU06627.3	NCU06627.4	NCU06627.5
NCU06628	NCU06628.1	NCU06628.2	NCU06628.3	NCU06628.4	NCU06628.5
NCU06629	NCU06629.1	NCU06629.2	NCU06629.3	NCU06629.4	NCU06629.5
NCU06630	NCU06630.1	NCU06630.2	NCU06630.3	NCU06630.4	NCU06630.5
NCU06631	NCU06631.1	NCU06631.2	NCU06631.3	NCU06631.4	NCU06631.5
NCU06632	NCU06632.1	NCU06632.2	NCU06632.3	NCU06632.4	NCU06632.5
NCU06636	NCU06636.1	NCU06636.2	NCU06636.3	NCU06636.4	NCU06636.5
NCU06637	NCU06637.1	NCU06637.2	NCU06637.3	NCU06637.4	NCU06637.5
NCU06638	NCU06638.1	NCU06638.2	NCU06638.3	NCU06638.4	NCU06638.5
NCU06640	NCU06640.1	NCU06640.2	NCU06640.3	NCU06640.4	NCU06640.5
NCU06641	NCU06641.1	NCU06641.2	NCU06641.3	NCU11657.4	NCU06641.5
NCU06643	NCU06643.1	NCU06643.2	NCU06643.3	NCU06643.4	NCU06643.5
NCU06644	NCU06644.1	NCU06644.2	NCU06644.3	NCU06644.4	NCU06644.5
NCU06645	NCU06645.1	NCU06645.2	NCU06645.3	NCU06645.4	NCU06645.5
NCU06646	NCU06646.1	NCU06646.2	NCU06646.3	NCU06646.4	NCU06646.5
NCU06647	NCU06647.1	NCU06647.2	NCU06647.3	NCU06647.4	NCU06647.5
NCU06648	NCU06648.1	NCU06648.2	NCU06648.3	NCU06648.4	NCU06648.5
NCU06649	NCU06649.1	NCU06649.2	NCU06649.3	NCU06649.4	NCU06649.5
NCU06650	NCU06650.1	NCU06650.2	NCU06650.3	NCU06650.4	NCU06650.5
NCU06651	NCU06651.1	NCU06651.2	NCU06651.3	NCU06651.4	NCU06651.5
NCU06652	NCU06652.1	NCU06652.2	NCU06652.3	NCU06652.4	NCU06652.5
NCU06653	NCU06653.1	NCU06653.2	NCU06653.3	NCU06653.4	NCU06653.5
NCU06654	NCU06654.1	NCU06654.2	NCU06654.3	NCU06654.4	NCU06654.5
NCU06655	NCU06655.1	NCU06655.2	NCU06655.3	NCU06655.4	NCU06655.5
NCU06656	NCU06656.1	NCU06656.2	NCU06656.3	NCU06656.4	NCU06656.5
NCU06657	NCU06657.1	NCU06657.2	NCU06657.3	NCU06657.4	NCU06657.5
NCU06658	NCU06658.1	NCU06658.2	NCU06658.3	NCU06658.4	NCU06658.5
NCU06659	NCU06659.1	NCU06659.2	NCU06659.3	NCU06659.4	NCU06659.5
NCU06660	NCU06660.1	NCU06660.2	NCU06660.3	NCU06660.4	NCU06660.5
NCU06661	NCU06661.1	NCU06661.2	NCU06661.3	NCU06661.4	NCU06661.5
NCU06662	NCU06662.1	NCU06662.2	NCU06662.3	NCU06662.4	NCU06662.5
NCU06663	NCU06663.1	NCU06663.2	NCU06663.3	NCU06663.4	NCU06663.5
NCU06664	NCU06664.1	NCU06664.2	NCU06664.3	NCU06664.4	NCU06664.5
NCU06666	NCU06666.1	NCU06666.2	NCU06666.3	NCU06666.4	NCU06666.5
NCU06667	NA	NA	NA	NCU06667.4	NCU06667.5
NCU06668	NCU06668.1	NCU06668.2	NCU06668.3	NCU06668.4	NCU06668.5
NCU06669	NCU06669.1	NCU06669.2	NCU06669.3	NCU06669.4	NCU06669.5
NCU06672	NCU06672.1	NCU06672.2	NCU06672.3	NCU06672.4	NCU06672.5
NCU06673	NCU06673.1	NCU06673.2	NCU06673.3	NCU06673.4	NCU06673.5
NCU06674	NCU06674.1	NCU06674.2	NCU06674.3	NCU06674.4	NCU06674.5
NCU06675	NCU06675.1	NCU06675.2	NCU06675.3	NCU06675.4	NCU06675.5
NCU06676	NCU06676.1	NCU06676.2	NCU11336.3	NCU11660.4	NCU06676.5
NCU06676	NCU06676.1	NCU06676.2	NCU11335.3	NCU11660.4	NCU06676.5
NCU06677	NCU06677.1	NCU06677.2	NCU06677.3	NCU06677.4	NCU06677.5
NCU06678	NCU06678.1	NCU06678.2	NCU06678.3	NCU06678.4	NCU06678.5
NCU06679	NCU06679.1	NCU06679.2	NCU06679.3	NCU06679.4	NCU06679.5
NCU06680	NCU06680.1	NCU06680.2	NCU06680.3	NCU06680.4	NCU06680.5
NCU06681	NCU06681.1	NCU06681.2	NCU06681.3	NCU06681.4	NCU06681.5
NCU06682	NCU06682.1	NCU06682.2	NCU06682.3	NCU06682.4	NCU06682.5
NCU06683	NCU06683.1	NCU06683.2	NCU06683.3	NCU06683.4	NCU06683.5
NCU06684	NCU06684.1	NCU06684.2	NCU06684.3	NCU06684.4	NCU06684.5
NCU06685	NCU06685.1	NCU06685.2	NCU06685.3	NCU06685.4	NCU06685.5
NCU06686	NCU06686.1	NCU06686.2	NCU06686.3	NCU06686.4	NCU06686.5
NCU06687	NCU06687.1	NCU06687.2	NCU06687.3	NCU06687.4	NCU06687.5
NCU06688	NCU06688.1	NCU06688.2	NCU06688.3	NCU06688.4	NCU06688.5
NCU06689	NCU06689.1	NCU06689.2	NCU06689.3	NCU06689.4	NCU06689.5
NCU06690	NCU06690.1	NCU06690.2	NCU06690.3	NCU06690.4	NCU06690.5
NCU06691	NCU06691.1	NCU06691.2	NCU06691.3	NCU06691.4	NCU06691.5
NCU06693	NCU06693.1	NCU06693.2	NCU06693.3	NCU06693.4	NCU06693.5
NCU06694	NCU06694.1	NCU06694.2	NCU06694.3	NCU06694.4	NCU06694.5
NCU06695	NCU06695.1	NCU06695.2	NCU06695.3	NCU06695.4	NCU06695.5
NCU06696	NCU06696.1	NCU06696.2	NCU06696.3	NCU06696.4	NCU06696.5
NCU06697	NCU06697.1	NCU06697.2	NCU06697.3	NCU06697.4	NCU06697.5
NCU06698	NCU06698.1	NCU06698.2	NCU06698.3	NCU06698.4	NCU06698.5
NCU06699	NCU06699.1	NCU06699.2	NCU06699.3	NCU06699.4	NCU06699.5
NCU06700	NCU06700.1	NCU06700.2	NCU06700.3	NCU06700.4	NCU06700.5
NCU06701	NCU06701.1	NCU06701.2	NCU06701.3	NCU06701.4	NCU06701.5
NCU06702	NCU06702.1	NCU06702.2	NCU06702.3	NCU06702.4	NCU06702.5
NCU06703	NCU06703.1	NCU06703.2	NCU06703.3	NCU06703.4	NCU06703.5
NCU06704	NCU06704.1	NCU06704.2	NCU06704.3	NCU06704.4	NCU06704.5
NCU06706	NCU06706.1	NCU06706.2	NCU06706.3	NCU06706.4	NCU06706.5
NCU06707	NCU06707.1	NCU06707.2	NCU06707.3	NCU06707.4	NCU06707.5
NCU06708	NCU06708.1	NCU06708.2	NCU06708.3	NCU06708.4	NCU06708.5
NCU06709	NCU06709.1	NCU06709.2	NCU06709.3	NCU06709.4	NCU06709.5
NCU06710	NCU06710.1	NCU06710.2	NCU06710.3	NCU06710.4	NCU06710.5
NCU06711	NCU06711.1	NCU06711.2	NCU06711.3	NCU06711.4	NCU06711.5
NCU06712	NCU06712.1	NCU06712.2	NCU06712.3	NCU06712.4	NCU06712.5
NCU06713	NCU06713.1	NCU06713.2	NCU06713.3	NCU06713.4	NCU06713.5
NCU06714	NCU06714.1	NCU06714.2	NCU06714.3	NCU06714.4	NCU06714.5
NCU06715	NCU06715.1	NCU06715.2	NCU06715.3	NCU06715.4	NCU06715.5
NCU06716	NCU06716.1	NCU06716.2	NCU06716.3	NCU06716.4	NCU06716.5
NCU06717	NCU06717.1	NCU06717.2	NCU06717.3	NCU06717.4	NCU06717.5
NCU06718	NCU06718.1	NCU06718.2	NCU06718.3	NCU06718.4	NCU06718.5
NCU06719	NCU06719.1	NCU06719.2	NCU06719.3	NCU06719.4	NCU06719.5
NCU06720	NCU06720.1	NCU06720.2	NCU06720.3	NCU06720.4	NCU06720.5
NCU06721	NCU06721.1	NCU06721.2	NCU06721.3	NCU06721.4	NCU06721.5
NCU06722	NCU06722.1	NCU06722.2	NCU06722.3	NCU06722.4	NCU06722.5
NCU06724	NCU06724.1	NCU06724.2	NCU06724.3	NCU06724.4	NCU06724.5
NCU06725	NCU06725.1	NCU06725.2	NCU06725.3	NCU06725.4	NCU06725.5
NCU06726	NCU06726.1	NCU06726.2	NCU06726.3	NCU06726.4	NCU06726.5
NCU06727	NCU06727.1	NCU06727.2	NCU06727.3	NCU06727.4	NCU06727.5
NCU06729	NCU06729.1	NCU06729.2	NCU06729.3	NCU06729.4	NCU06729.5
NCU06730	NCU06730.1	NCU06730.2	NCU06730.3	NCU06730.4	NCU06730.5
NCU06731	NCU06731.1	NCU06731.2	NCU06731.3	NCU06731.4	NCU06731.5
NCU06732	NCU06732.1	NCU06732.2	NCU06732.3	NCU11664.4	NCU06732.5
NCU06733	NCU06733.1	NCU06733.2	NCU06733.3	NCU06733.4	NCU06733.5
NCU06734	NCU06734.1	NCU06734.2	NCU06734.3	NCU06734.4	NCU06734.5
NCU06735	NCU06735.1	NCU06735.2	NCU06735.3	NCU06735.4	NCU06735.5
NCU06737	NCU06737.1	NCU06737.2	NCU06737.3	NCU06737.4	NCU06737.5
NCU06738	NCU06738.1	NCU06738.2	NCU06738.3	NCU06738.4	NCU06738.5
NCU06739	NCU06739.1	NCU06739.2	NCU06739.3	NCU06739.4	NCU06739.5
NCU06740	NCU06740.1	NCU06740.2	NCU06740.3	NCU06740.4	NCU06740.5
NCU06741	NCU06741.1	NA	NCU11339.3	NCU11339.4	NCU06741.5
NCU06742	NCU06742.1	NCU06742.2	NCU06742.3	NCU06742.4	NCU06742.5
NCU06743	NCU06743.1	NCU06743.2	NCU06743.3	NCU06743.4	NCU06743.5
NCU06744	NCU06744.1	NCU06744.2	NCU06744.3	NCU06744.4	NCU06744.5
NCU06745	NCU06745.1	NCU06745.2	NCU06745.3	NCU06745.4	NCU06745.5
NCU06746	NCU06746.1	NCU06746.2	NCU06746.3	NCU06746.4	NCU06746.5
NCU06747	NCU06747.1	NCU06747.2	NCU06747.3	NCU06747.4	NCU06747.5
NCU06748	NCU06748.1	NCU06748.2	NCU06748.3	NCU06748.4	NCU06748.5
NCU06749	NCU06749.1	NCU06749.2	NCU06749.3	NCU06749.4	NCU06749.5
NCU06750	NCU06750.1	NCU06750.2	NCU06750.3	NCU06750.4	NCU06750.5
NCU06751	NCU06751.1	NCU06751.2	NCU06751.3	NCU06751.4	NCU06751.5
NCU06752	NCU06752.1	NCU06752.2	NCU06752.3	NCU06752.4	NCU06752.5
NCU06754	NCU06754.1	NCU06754.2	NCU06754.3	NCU06754.4	NCU06754.5
NCU06756	NCU06756.1	NCU06756.2	NCU06756.3	NCU06756.4	NCU06756.5
NCU06757	NCU06757.1	NCU06757.2	NCU06757.3	NCU06757.4	NCU06757.5
NCU06758	NCU06758.1	NCU06758.2	NCU06758.3	NCU06758.4	NCU06758.5
NCU06759	NCU06759.1	NCU06759.2	NCU06759.3	NCU06759.4	NCU06759.5
NCU06760	NCU06760.1	NCU06760.2	NCU06760.3	NCU06760.4	NCU06760.5
NCU06761	NCU06761.1	NCU06761.2	NCU06761.3	NCU06761.4	NCU06761.5
NCU06762	NCU06762.1	NCU06762.2	NCU06762.3	NCU06762.4	NCU06762.5
NCU06763	NCU06763.1	NCU06763.2	NCU06763.3	NCU06763.4	NCU06763.5
NCU06764	NCU06764.1	NCU06764.2	NCU06764.3	NCU06764.4	NCU06764.5
NCU06765	NCU06765.1	NCU06765.2	NCU06765.3	NCU06765.4	NCU06765.5
NCU06766	NCU06766.1	NCU06766.2	NCU06766.3	NCU06766.4	NCU06766.5
NCU06767	NCU06767.1	NCU06767.2	NCU06767.3	NCU06767.4	NCU06767.5
NCU06768	NCU06768.1	NCU06768.2	NCU06768.3	NCU06768.4	NCU06768.5
NCU06769	NCU06769.1	NCU06769.2	NCU06769.3	NCU06769.4	NCU06769.5
NCU06771	NCU06771.1	NCU06771.2	NCU06771.3	NCU06771.4	NCU06771.5
NCU06772	NCU06772.1	NCU06772.2	NCU06772.3	NCU06772.4	NCU06772.5
NCU06773	NCU06773.1	NCU06773.2	NCU06773.3	NCU06773.4	NCU06773.5
NCU06774	NCU06774.1	NCU06774.2	NCU06774.3	NCU06774.4	NCU06774.5
NCU06776	NCU06776.1	NCU06776.2	NCU06776.3	NCU06776.4	NCU06776.5
NCU06777	NCU06777.1	NCU06777.2	NCU06777.3	NCU06777.4	NCU06777.5
NCU06778	NCU06778.1	NCU06778.2	NCU06778.3	NCU06778.4	NCU06778.5
NCU06779	NCU06779.1	NCU06779.2	NCU06779.3	NCU06779.4	NCU06779.5
NCU06780	NCU06780.1	NCU06780.2	NCU06780.3	NCU06780.4	NCU06780.5
NCU06781	NCU06781.1	NCU06781.2	NCU06781.3	NCU06781.4	NCU06781.5
NCU06782	NCU06782.1	NCU06782.2	NCU06782.3	NCU06782.4	NCU06782.5
NCU06783	NCU06783.1	NCU06783.2	NCU06783.3	NCU06783.4	NCU06783.5
NCU06784	NCU06784.1	NCU06784.2	NCU06784.3	NCU06784.4	NCU06784.5
NCU06785	NCU06785.1	NCU06785.2	NCU06785.3	NCU06785.4	NCU06785.5
NCU06786	NCU06786.1	NCU06786.2	NCU06786.3	NCU06786.4	NCU06786.5
NCU06787	NCU06787.1	NCU06787.2	NCU06787.3	NCU06787.4	NCU06787.5
NCU06788	NCU06788.1	NCU06788.2	NCU06788.3	NCU06788.4	NCU06788.5
NCU06789	NCU06789.1	NCU06789.2	NCU06789.3	NCU06789.4	NCU06789.5
NCU06790	NCU06790.1	NCU06790.2	NCU06790.3	NCU06790.4	NCU06790.5
NCU06791	NCU06791.1	NCU06791.2	NCU06791.3	NCU06791.4	NCU06791.5
NCU06792	NCU06792.1	NCU06792.2	NCU06792.3	NCU06792.4	NCU06792.5
NCU06793	NCU06793.1	NCU06793.2	NCU06793.3	NCU06793.4	NCU06793.5
NCU06794	NCU06794.1	NCU06794.2	NCU06794.3	NCU06794.4	NCU06794.5
NCU06795	NCU06795.1	NCU06795.2	NCU06795.3	NCU06795.4	NCU06795.5
NCU06797	NCU06797.1	NCU06797.2	NCU06797.3	NCU06797.4	NCU06797.5
NCU06799	NCU06799.1	NCU06799.2	NCU06799.3	NCU06799.4	NCU06799.5
NCU06801	NCU06801.1	NCU06801.2	NCU06801.3	NCU06801.4	NCU06801.5
NCU06803	NCU06803.1	NCU06803.2	NCU06803.3	NCU06803.4	NCU06803.5
NCU06804	NCU06804.1	NCU06804.2	NCU06804.3	NCU06804.4	NCU06804.5
NCU06806	NCU06806.1	NCU06806.2	NCU06806.3	NCU06806.4	NCU06806.5
NCU06807	NCU06807.1	NCU06807.2	NCU06807.3	NCU06807.4	NCU06807.5
NCU06808	NCU06808.1	NCU06808.2	NA	NCU11944.4	NCU06808.5
NCU06809	NCU06809.1	NCU06809.2	NCU06809.3	NCU06809.4	NCU06809.5
NCU06810	NCU06810.1	NCU06810.2	NCU06810.3	NCU06810.4	NCU06810.5
NCU06811	NCU06811.1	NCU06811.2	NCU06811.3	NCU06811.4	NCU06811.5
NCU06812	NCU06812.1	NCU06812.2	NCU06812.3	NCU06812.4	NCU06812.5
NCU06815	NCU06815.1	NCU06815.2	NCU06815.3	NCU06815.4	NCU06815.5
NCU06817	NCU06817.1	NCU06817.2	NCU06817.3	NCU06817.4	NCU06817.5
NCU06821	NCU06821.1	NCU06821.2	NCU06821.3	NCU06821.4	NCU06821.5
NCU06822	NCU06822.1	NCU06822.2	NCU06822.3	NCU06822.4	NCU06822.5
NCU06823	NCU06823.1	NCU06823.2	NCU06823.3	NCU06823.4	NCU06823.5
NCU06824	NCU06824.1	NCU06824.2	NCU06824.3	NCU06824.4	NCU06824.5
NCU06826	NCU06826.1	NCU06826.2	NCU06826.3	NCU06826.4	NCU06826.5
NCU06832	NCU06832.1	NCU06832.2	NCU06832.3	NCU06832.4	NCU06832.5
NCU06833	NCU06833.1	NCU06833.2	NCU06833.3	NCU06833.4	NCU06833.5
NCU06834	NCU06834.1	NCU06834.2	NCU06834.3	NCU06834.4	NCU06834.5
NCU06836	NCU06836.1	NCU06836.2	NCU06836.3	NCU06836.4	NCU06836.5
NCU06837	NCU06837.1	NCU06837.2	NCU06837.3	NCU06837.4	NCU06837.5
NCU06838	NCU06838.1	NCU06838.2	NCU06838.3	NCU06838.4	NCU06838.5
NCU06839	NCU06839.1	NCU06839.2	NCU06839.3	NCU06839.4	NCU06839.5
NCU06840	NCU06840.1	NCU06840.2	NCU06840.3	NCU06840.4	NCU06840.5
NCU06841	NCU06841.1	NCU06841.2	NCU06841.3	NCU06841.4	NCU06841.5
NCU06842	NCU06842.1	NCU06842.2	NCU06842.3	NCU06842.4	NCU06842.5
NCU06843	NCU06843.1	NCU06843.2	NCU06843.3	NCU06843.4	NCU06843.5
NCU06844	NCU06844.1	NCU06844.2	NCU06844.3	NCU06844.4	NCU06844.5
NCU06845	NCU06845.1	NCU06845.2	NCU06845.3	NCU06845.4	NCU06845.5
NCU06846	NCU06846.1	NCU06846.2	NCU06846.3	NCU06846.4	NCU06846.5
NCU06847	NCU06847.1	NCU06847.2	NCU06847.3	NCU06847.4	NCU06847.5
NCU06849	NCU06849.1	NCU06849.2	NCU06849.3	NCU06849.4	NCU06849.5
NCU06850	NCU06850.1	NCU06850.2	NCU06850.3	NCU06850.4	NCU06850.5
NCU06851	NCU06851.1	NCU06851.2	NCU06851.3	NCU06851.4	NCU06851.5
NCU06852	NCU06852.1	NCU06852.2	NCU06852.3	NCU06852.4	NCU06852.5
NCU06853	NCU06853.1	NCU06853.2	NCU06853.3	NCU06853.4	NCU06853.5
NCU06854	NCU06854.1	NCU06854.2	NCU06854.3	NCU06854.4	NCU06854.5
NCU06855	NCU06855.1	NCU06855.2	NCU06855.3	NCU06855.4	NCU06855.5
NCU06856	NCU06856.1	NCU06856.2	NCU06856.3	NCU06856.4	NCU06856.5
NCU06857	NCU06857.1	NCU06857.2	NCU06857.3	NCU06857.4	NCU06857.5
NCU06859	NCU06859.1	NCU06859.2	NCU06859.3	NCU06859.4	NCU06859.5
NCU06860	NCU06860.1	NCU06860.2	NCU06860.3	NCU06860.4	NCU06860.5
NCU06861	NCU06861.1	NCU06861.2	NCU06861.3	NCU06861.4	NCU06861.5
NCU06862	NCU06862.1	NCU06862.2	NCU06862.3	NCU06862.4	NCU06862.5
NCU06863	NCU06863.1	NCU06863.2	NCU06863.3	NCU06863.4	NCU06863.5
NCU06864	NCU06864.1	NCU06864.2	NCU06864.3	NCU06864.4	NCU06864.5
NCU06866	NCU06866.1	NCU06866.2	NCU06866.3	NCU06866.4	NCU06866.5
NCU06867	NCU06867.1	NCU06867.2	NCU06867.3	NCU06867.4	NCU06867.5
NCU06868	NCU06868.1	NCU06868.2	NCU06868.3	NCU06868.4	NCU06868.5
NCU06869	NCU06869.1	NCU06869.2	NCU06869.3	NCU06869.4	NCU06869.5
NCU06870	NCU06870.1	NCU06870.2	NCU06870.3	NCU06870.4	NCU06870.5
NCU06871	NCU06871.1	NCU06871.2	NCU06871.3	NCU06871.4	NCU06871.5
NCU06872	NCU06872.1	NCU06872.2	NCU06872.3	NCU06872.4	NCU06872.5
NCU06874	NCU06874.1	NCU06874.2	NCU06874.3	NCU06874.4	NCU06874.5
