geneid	geneidv1	geneidv2	geneidv3	geneidv4	geneidv5
NCU00117	NCU00117.1	NCU00117.2	NCU00117.3	NCU00117.4	NCU00117.5
NCU00118	NCU00118.1	NCU00118.2	NCU00118.3	NCU00118.4	NCU00118.5
NCU00119	NCU00119.1	NCU00119.2	NCU00119.3	NCU00119.4	NCU00119.5
NCU00120	NCU00120.1	NCU00120.2	NCU00120.3	NCU00120.4	NCU00120.5
NCU00121	NCU00121.1	NCU00121.2	NCU00121.3	NCU00121.4	NCU00121.5
NCU00122	NCU00122.1	NCU00122.2	NCU00122.3	NCU00122.4	NCU00122.5
NCU00123	NCU00123.1	NCU00123.2	NCU00123.3	NCU00123.4	NCU00123.5
NCU00124	NCU00124.1	NCU00124.2	NCU00124.3	NCU00124.4	NCU00124.5
NCU00125	NCU00125.1	NCU00125.2	NCU00125.3	NCU00125.4	NCU00125.5
NCU00126	NCU00126.1	NCU00126.2	NCU00126.3	NCU00126.4	NCU00126.5
NCU00127	NCU00127.1	NCU00127.2	NCU00127.3	NCU00127.4	NCU00127.5
NCU00128	NCU00128.1	NCU00128.2	NCU00128.3	NCU00128.4	NCU00128.5
NCU00129	NCU00129.1	NCU00129.2	NCU00129.3	NCU11866.4	NCU00129.5
NCU00130	NCU00130.1	NCU00130.2	NCU00130.3	NCU00130.4	NCU00130.5
NCU00132	NCU00132.1	NCU00132.2	NCU00132.3	NCU00132.4	NCU00132.5
NCU00133	NCU00133.1	NCU10102.2	NCU11168.3	NCU11168.4	NCU00133.5
NCU00134	NCU00134.1	NCU10102.2	NCU11169.3	NCU11169.4	NCU00134.5
NCU00135	NCU00135.1	NCU00135.2	NCU00135.3	NCU00135.4	NCU00135.5
NCU00136	NCU00136.1	NCU10613.2	NCU11170.3	NCU11170.4	NCU00136.5
NCU00137	NCU00137.1	NCU10613.2	NCU11171.3	NCU11171.4	NCU00137.5
NCU00138	NCU00138.1	NCU00138.2	NCU00138.3	NCU00138.4	NCU00138.5
NCU00142	NCU00142.1	NCU00142.2	NCU00142.3	NCU00142.4	NCU00142.5
NCU00143	NCU00143.1	NCU00143.2	NCU00143.3	NCU00143.4	NCU00143.5
NCU00144	NCU00144.1	NCU00144.2	NCU00144.3	NCU00144.4	NCU00144.5
NCU00145	NCU00145.1	NCU00145.2	NCU00145.3	NCU00145.4	NCU00145.5
NCU00146	NCU00146.1	NCU00146.2	NCU00146.3	NCU00146.4	NCU00146.5
NCU00147	NCU00147.1	NCU00147.2	NCU00147.3	NCU00147.4	NCU00147.5
