geneid	funcatid	gotermid	pubmedid
NCU02335	32.05.05.01	NA	PMID:15486203
NCU02336	32.05.05	NA	PMID:15486203
NCU02336	42.27	NA	PMID:15486203
NCU02374	14.13.01	NA	PMID:15486203
NCU02419	12.01.01	NA	PMID:15486203
NCU02424	30.01.05	NA	PMID:15486203
NCU02464	43.01.03	NA	PMID:15486203
NCU02464	43.01.03.05	NA	PMID:15486203
NCU02472	02.11	NA	PMID:15486203
NCU02472	20.03	NA	PMID:15486203
NCU02509	12.01.01	NA	PMID:15486203
NCU02510	42.09	NA	PMID:15486203
NCU02514	02.11	NA	PMID:15486203
NCU02525	32.05.01	NA	PMID:15486203
NCU02534	02.11	NA	PMID:15486203
NCU02544	20.03.25	NA	PMID:15486203
NCU02582	20.03	NA	PMID:15486203
NCU02591	70.02	NA	PMID:15486203
NCU02653	20.09.18.07	NA	PMID:15486203
NCU02653	70.02	NA	PMID:15486203
NCU02657	01.20.21	NA	PMID:15486203
NCU02681	20.03	NA	PMID:15486203
NCU02681	20.09	NA	PMID:15486203
NCU02701	14.13.01	NA	PMID:15486203
NCU02701	16.17.09	NA	PMID:15486203
NCU02744	12.01.01	NA	PMID:15486203
NCU02751	30.01.05	NA	PMID:15486203
NCU02754	30.01.05	NA	PMID:15486203
NCU02757	12.01.01	NA	PMID:15486203
NCU02781	43.01.03.05	NA	PMID:15486203
NCU02783	20.09.18.07	NA	PMID:15486203
NCU02783	70.02	NA	PMID:15486203
NCU02801	16.13	NA	PMID:15486203
NCU02804	12.01.01	NA	PMID:15486203
NCU02855	32	NA	PMID:15486203
NCU02903	32.05.05	NA	PMID:15486203
NCU02903	43.01.03	NA	PMID:15486203
NCU02903	70.02	NA	PMID:15486203
NCU02905	12.01.01	NA	PMID:15486203
NCU02918	32.05.05	NA	PMID:15486203
NCU02923	32.05.05	NA	PMID:15486203
NCU02924	32.07.03	NA	PMID:15486203
NCU02951	12.01.01	NA	PMID:15486203
NCU02960	20.09.03	NA	PMID:15486203
NCU02979	02.45	NA	PMID:15486203
NCU02980	20.03	NA	PMID:15486203
NCU02988	20.09.18	NA	PMID:15486203
NCU02988	43.01.03	NA	PMID:15486203
NCU02988	43.01.03.05	NA	PMID:15486203
NCU02991	38	NA	PMID:15486203
NCU02997	32.10.07	NA	PMID:15486203
NCU03006	70	NA	PMID:15486203
NCU03013	32.07.03	NA	PMID:15486203
NCU03015	43.01.03	NA	PMID:15486203
NCU03031	02.11	NA	PMID:15486203
NCU03038	12.01.01	NA	PMID:15486203
NCU03055	43.01.03.05	NA	PMID:15486203
NCU03066	20.03	NA	PMID:15486203
NCU03086	01.20.35	NA	PMID:15486203
NCU03102	12.01.01	NA	PMID:15486203
NCU03112	16.17.09	NA	PMID:15486203
NCU03115	43.01.03.05	NA	PMID:15486203
NCU03122	32.05.03	NA	PMID:15486203
NCU03130	43.01.03	NA	PMID:15486203
NCU03130	43.01.03.05	NA	PMID:15486203
NCU03156	02.11	NA	PMID:15486203
NCU03171	43.01.03.09	NA	PMID:15486203
NCU03188	32.05.05	NA	PMID:15486203
NCU03223	20.09	NA	PMID:15486203
NCU03228	20.03.25	NA	PMID:15486203
NCU03229	20.03	NA	PMID:15486203
NCU03230	12.01.01	NA	PMID:15486203
NCU03235	20.09.18	NA	PMID:15486203
NCU03257	20.09.18	NA	PMID:15486203
NCU03297	32.07.07	NA	PMID:15486203
NCU03302	12.01.01	NA	PMID:15486203
NCU03339	32.07	NA	PMID:15486203
NCU03340	02.11.05	NA	PMID:15486203
NCU03354	43.01.03	NA	PMID:15486203
NCU03368	20.01.01.01.01	NA	PMID:15486203
NCU03368	20.03	NA	PMID:15486203
NCU03368	32.07	NA	PMID:15486203
NCU03370	32.05.05	NA	PMID:15486203
NCU03372	20.09	NA	PMID:15486203
NCU03406	43.01.03	NA	PMID:15486203
NCU03406	43.01.03.09	NA	PMID:15486203
NCU03409	43.01.03	NA	PMID:15486203
NCU03409	43.01.03.05	NA	PMID:15486203
NCU03436	43.01.03	NA	PMID:15486203
NCU03436	43.01.03.05	NA	PMID:15486203
NCU03440	20.09.18	NA	PMID:15486203
NCU03475	32.05.05	NA	PMID:15486203
NCU03493	43.01.03	NA	PMID:15486203
NCU03497	20.01.01.01.01	NA	PMID:15486203
NCU03497	20.03	NA	PMID:15486203
NCU03498	20.01.01.01.01	NA	PMID:15486203
NCU03498	20.03	NA	PMID:15486203
NCU03507	43.01.03	NA	PMID:15486203
NCU03515	43.01.03	NA	PMID:15486203
NCU03525	02.11.05	NA	PMID:15486203
NCU03533	43.01.03	NA	PMID:15486203
NCU03558	02.11	NA	PMID:15486203
NCU03559	20.03	NA	PMID:15486203
NCU03561	20.03	NA	PMID:15486203
NCU03576	43.01.03	NA	PMID:15486203
NCU03576	43.01.03.09	NA	PMID:15486203
NCU03591	20.03.25	NA	PMID:15486203
NCU03603	20.03	NA	PMID:15486203
NCU03616	18.02.05	NA	PMID:15486203
NCU03616	43.01.03	NA	PMID:15486203
NCU03616	43.01.03.09	NA	PMID:15486203
NCU03646	32.10.07	NA	PMID:15486203
NCU03662	38	NA	PMID:15486203
NCU03770	43.01.03	NA	PMID:15486203
NCU03770	43.01.03.05	NA	PMID:15486203
NCU03773	43.01.03	NA	PMID:15486203
NCU03773	70.02	NA	PMID:15486203
NCU03784	20.03	NA	PMID:15486203
NCU03789	32.07	NA	PMID:15486203
NCU03794	43.01.03	NA	PMID:15486203
NCU03794	43.01.03.05	NA	PMID:15486203
NCU03795	43.01.03	NA	PMID:15486203
NCU03795	43.01.03.05	NA	PMID:15486203
NCU03815	20.03	NA	PMID:15486203
NCU03827	12.01.01	NA	PMID:15486203
NCU03883	43.01.03.05	NA	PMID:15486203
NCU03887	32.05.01.03	NA	PMID:15486203
NCU03887	32.07	NA	PMID:15486203
NCU03894	30.01.05	NA	PMID:15486203
NCU03925	32.05.05.01	NA	PMID:15486203
NCU03953	02.11	NA	PMID:15486203
NCU03988	12.01.01	NA	PMID:15486203
NCU03991	43.01.03.09	NA	PMID:15486203
NCU03992	43.01.03.05	NA	PMID:15486203
NCU04021	20.03.25	NA	PMID:15486203
NCU04044	02.11	NA	PMID:15486203
NCU04051	20.03.25	NA	PMID:15486203
NCU04074	02.11.05	NA	PMID:15486203
NCU04076	16.17.09	NA	PMID:15486203
NCU04076	20.01.01.01.01	NA	PMID:15486203
NCU04089	32.07.01	NA	PMID:15486203
NCU04097	20.03.25	NA	PMID:15486203
NCU04106	32.05	NA	PMID:15486203
NCU04106	70.02	NA	PMID:15486203
NCU04130	32.05	NA	PMID:15486203
NCU04144	43.01.03	NA	PMID:15486203
NCU04144	43.01.03.09	NA	PMID:15486203
NCU04161	20.03.25	NA	PMID:15486203
NCU04161	70.02	NA	PMID:15486203
NCU04180	20.03	NA	PMID:15486203
NCU04195	20.03	NA	PMID:15486203
NCU04195	20.09	NA	PMID:15486203
NCU04201	43.01.03	NA	PMID:15486203
NCU04201	70.02	NA	PMID:15486203
NCU04245	20.03	NA	PMID:15486203
NCU04264	43.01.03	NA	PMID:15486203
NCU04264	43.01.03.09	NA	PMID:15486203
NCU04336	12.01.01	NA	PMID:15486203
NCU04355	30.01.09.11	NA	PMID:15486203
NCU04404	42.09	NA	PMID:15486203
NCU04412	12.01.01	NA	PMID:15486203
NCU04415	32.05.01.03	NA	PMID:15486203
NCU04418	32.05.01.03	NA	PMID:15486203
NCU04418	32.07.05	NA	PMID:15486203
NCU04418	70.02	NA	PMID:15486203
NCU04446	20.03	NA	PMID:15486203
NCU04446	70.02	NA	PMID:15486203
NCU04452	02.45	NA	PMID:15486203
NCU04471	32.05	NA	PMID:15486203
NCU04473	32.05.05	NA	PMID:15486203
NCU04483	01.05.02.04	NA	PMID:15486203
NCU04494	32.05.05	NA	PMID:15486203
NCU04528	01.25.09	NA	PMID:15486203
NCU04537	20.09.18.07	NA	PMID:15486203
NCU04552	12.01.01	NA	PMID:15486203
NCU04553	12.01.01	NA	PMID:15486203
NCU04553	14.13.01	NA	PMID:15486203
NCU04601	43.01.03	NA	PMID:15486203
NCU04601	43.01.03.05	NA	PMID:15486203
NCU04612	43.01.03.05	NA	PMID:15486203
NCU04637	43.01.03	NA	PMID:15486203
NCU04637	43.01.03.05	NA	PMID:15486203
NCU04697	32.05.05	NA	PMID:15486203
NCU04697	32.07.09	NA	PMID:15486203
NCU04730	32.05.03	NA	PMID:15486203
NCU04736	70.02	NA	PMID:15486203
NCU04766	43.01.03	NA	PMID:15486203
NCU04766	43.01.03.05	NA	PMID:15486203
NCU04768	20.03	NA	PMID:15486203
NCU04801	01.20.35	NA	PMID:15486203
NCU04806	12.01.01	NA	PMID:15486203
NCU04815	16.17.09	NA	PMID:15486203
NCU04819	20.01.01.01.01	NA	PMID:15486203
NCU04865	32.05.05	NA	PMID:15486203
NCU04870	01.25.07	NA	PMID:15486203
NCU04935	32.05.03	NA	PMID:15486203
NCU04942	20.09.18	NA	PMID:15486203
NCU04942	70.02	NA	PMID:15486203
NCU04953	01.25.03	NA	PMID:15486203
NCU04963	20.09.18	NA	PMID:15486203
NCU05008	02.11	NA	PMID:15486203
NCU05009	02.11	NA	PMID:15486203
NCU05011	32.05.05	NA	PMID:15486203
NCU05029	20.03.25	NA	PMID:15486203
NCU05045	20.09.18.07	NA	PMID:15486203
NCU05046	70.02	NA	PMID:15486203
NCU05077	32.07	NA	PMID:15486203
NCU05079	20.09.18.07	NA	PMID:15486203
NCU05089	20.03	NA	PMID:15486203
NCU05115	43.01.03	NA	PMID:15486203
NCU05154	70.02	NA	PMID:15486203
NCU05187	32.05.05	NA	PMID:15486203
NCU05187	70.02	NA	PMID:15486203
NCU05198	70.02	NA	PMID:15486203
NCU05207	32.07.05	NA	PMID:15486203
NCU05209	32.07	NA	PMID:15486203
NCU05227	14.13.01	NA	PMID:15486203
NCU05235	12.01.01	NA	PMID:15486203
NCU05275	12.01.01	NA	PMID:15486203
NCU05287	12.01.01	NA	PMID:15486203
NCU05288	18.02.05	NA	PMID:15486203
NCU05299	02.11	NA	PMID:15486203
NCU05304	43.01.03.05	NA	PMID:15486203
NCU05376	32.05.03	NA	PMID:15486203
NCU05390	20.03	NA	PMID:15486203
NCU05433	43.01.03	NA	PMID:15486203
NCU05435	43.01.03	NA	PMID:15486203
NCU05435	70.02	NA	PMID:15486203
NCU05457	20.03	NA	PMID:15486203
NCU05492	32.07	NA	PMID:15486203
NCU05492	70.02	NA	PMID:15486203
NCU05512	16.17.09	NA	PMID:15486203
NCU05516	01.07.04	NA	PMID:15486203
NCU05546	32.07.05	NA	PMID:15486203
NCU05554	12.01.01	NA	PMID:15486203
NCU05580	32.07.05	NA	PMID:15486203
NCU05585	20.09.18.07	NA	PMID:15486203
NCU05585	70.02	NA	PMID:15486203
NCU05591	20.03.25	NA	PMID:15486203
NCU05591	32.07.05	NA	PMID:15486203
NCU05591	70.02	NA	PMID:15486203
NCU05597	41.01	NA	PMID:15486203
NCU05616	32.07.03	NA	PMID:15486203
NCU05627	20.09.18.07	NA	PMID:15486203
NCU05627	70.02	NA	PMID:15486203
NCU05689	02.11	NA	PMID:15486203
NCU05714	12.01.01	NA	PMID:15486203
NCU05717	12.01.01	NA	PMID:15486203
NCU05730	32.05.05	NA	PMID:15486203
NCU05733	32.05.01.03	NA	PMID:15486203
NCU05735	32.05.01.03	NA	PMID:15486203
NCU05735	32.07.05	NA	PMID:15486203
NCU05735	70.02	NA	PMID:15486203
NCU05804	12.01.01	NA	PMID:15486203
NCU05816	02.11	NA	PMID:15486203
NCU05830	20.09.18.07	NA	PMID:15486203
NCU05830	70.02	NA	PMID:15486203
NCU05840	43.01.03	NA	PMID:15486203
NCU05843	20.09.18.07	NA	PMID:15486203
NCU05848	32.05.03	NA	PMID:15486203
NCU05848	32.07.01	NA	PMID:15486203
NCU05849	32.05.03	NA	PMID:15486203
NCU05849	32.07.01	NA	PMID:15486203
NCU05853	20.09.18.07	NA	PMID:15486203
NCU05853	70.02	NA	PMID:15486203
NCU05854	32.05.05	NA	PMID:15486203
NCU05854	70.02	NA	PMID:15486203
NCU05862	70.02	NA	PMID:15486203
NCU05890	12.01.01	NA	PMID:15486203
NCU05908	16.17.09	NA	PMID:15486203
NCU05935	01.25.01	NA	PMID:15486203
NCU05935	32.10.07	NA	PMID:15486203
NCU05942	14.13.01	NA	PMID:15486203
NCU05955	01.25.01	NA	PMID:15486203
NCU05955	32.10.07	NA	PMID:15486203
NCU05969	01.25.01	NA	PMID:15486203
NCU05978	16.17.09	NA	PMID:15486203
NCU05995	14.13.01	NA	PMID:15486203
NCU06010	01.25.01	NA	PMID:15486203
NCU06020	01.25.11	NA	PMID:15486203
NCU06023	01.20.15	NA	PMID:15486203
NCU06024	01.20.15	NA	PMID:15486203
NCU06025	01.20.15	NA	PMID:15486203
NCU06026	20.09.18.07	NA	PMID:15486203
NCU06026	70.02	NA	PMID:15486203
NCU06031	32.07.07	NA	PMID:15486203
NCU06038	12.01.01	NA	PMID:15486203
NCU06040	32.05.01	NA	PMID:15486203
NCU06040	32.07.05	NA	PMID:15486203
NCU06047	12.01.01	NA	PMID:15486203
NCU06048	12.01.01	NA	PMID:15486203
NCU06052	20.09.03	NA	PMID:15486203
NCU06066	12.01.01	NA	PMID:15486203
